               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.0332,              6.5353,              1.3543,             0.36294,            0.043902,            0.051969,            0.012602,                   0,                   0,                   0,            0.070053,           0.0033274,           0.0033274
                   1,              3.7525,              4.4019,              1.2388,             0.21016,              0.1049,            0.050385,            0.015136,                   0,                   0,                   0,            0.040051,           0.0066581,           0.0066581
                   2,              3.5571,              4.1202,              1.2124,             0.33415,             0.29371,             0.25817,             0.10321,                   0,                   0,                   0,            0.010045,           0.0099862,           0.0099862
                   3,              3.4335,              3.9022,              1.1931,             0.18225,            0.041958,            0.019048,           0.0069129,                   0,                   0,                   0,           0.0099881,           0.0099881,           0.0099881
                   4,              3.3466,              3.7752,               1.201,              0.3627,             0.33566,             0.30642,              0.1402,                   0,                   0,                   0,           0.0099881,           0.0099881,           0.0099881
                   5,              3.2274,              3.6737,              1.1678,             0.48067,             0.13287,             0.12126,            0.055936,                   0,                   0,                   0,           0.0099842,           0.0099842,           0.0099842
                   6,              3.2713,              3.6987,              1.1951,             0.29499,             0.24476,             0.19259,            0.091904,                   0,                   0,                   0,           0.0099802,           0.0099802,           0.0099802
                   7,              3.0117,              3.4916,              1.1472,             0.68252,             0.34266,             0.43715,             0.18082,                   0,                   0,                   0,           0.0099762,           0.0099762,           0.0099762
                   8,              2.9835,              3.2784,              1.1578,             0.68751,             0.36364,             0.43363,             0.17493,                   0,                   0,                   0,           0.0099723,           0.0099723,           0.0099723
                   9,              2.9194,              3.2489,              1.1432,             0.74938,             0.35664,             0.46187,             0.23747,                   0,                   0,                   0,           0.0099683,           0.0099683,           0.0099683
                  10,              2.9562,              3.2291,              1.1431,             0.78305,              0.3986,             0.45691,             0.22937,                   0,                   0,                   0,           0.0099644,           0.0099644,           0.0099644
                  11,              2.7657,               3.046,              1.1207,             0.81146,             0.37762,              0.4578,              0.2306,                   0,                   0,                   0,           0.0099604,           0.0099604,           0.0099604
                  12,               2.828,              3.0653,              1.1231,             0.34601,              0.4965,             0.23787,             0.13154,                   0,                   0,                   0,           0.0099564,           0.0099564,           0.0099564
                  13,              2.7215,              2.8539,              1.1015,             0.66439,             0.42657,             0.47788,               0.195,                   0,                   0,                   0,           0.0099525,           0.0099525,           0.0099525
                  14,              2.7942,              2.8514,              1.1267,             0.10911,             0.58741,            0.085467,            0.043429,                   0,                   0,                   0,           0.0099485,           0.0099485,           0.0099485
                  15,              2.7611,              2.8546,              1.1268,             0.87065,             0.45455,             0.57894,             0.27604,                   0,                   0,                   0,           0.0099446,           0.0099446,           0.0099446
                  16,              2.7284,              2.8433,              1.1247,             0.67766,             0.51457,             0.55612,             0.26468,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                  17,              2.6955,              2.6806,               1.106,             0.86806,             0.51049,             0.59982,             0.27102,                   0,                   0,                   0,           0.0099366,           0.0099366,           0.0099366
                  18,              2.6812,              2.8141,              1.1169,             0.74272,             0.28265,             0.46198,             0.24874,                   0,                   0,                   0,           0.0099327,           0.0099327,           0.0099327
                  19,              2.5014,                 nan,              1.0517,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099287,           0.0099287,           0.0099287
                  20,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099248,           0.0099248,           0.0099248
                  21,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                  22,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099168,           0.0099168,           0.0099168
                  23,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099129,           0.0099129,           0.0099129
                  24,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099089,           0.0099089,           0.0099089
                  25,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009905,            0.009905,            0.009905
                  26,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                  27,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009897,            0.009897,            0.009897
                  28,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098931,           0.0098931,           0.0098931
                  29,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098891,           0.0098891,           0.0098891
                  30,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098852,           0.0098852,           0.0098852
                  31,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                  32,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098772,           0.0098772,           0.0098772
                  33,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098733,           0.0098733,           0.0098733
                  34,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098693,           0.0098693,           0.0098693
                  35,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098654,           0.0098654,           0.0098654
                  36,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                  37,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098574,           0.0098574,           0.0098574
                  38,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098535,           0.0098535,           0.0098535
                  39,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098495,           0.0098495,           0.0098495
                  40,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098456,           0.0098456,           0.0098456
                  41,                   0,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  42,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098376,           0.0098376,           0.0098376
                  43,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098337,           0.0098337,           0.0098337
                  44,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098297,           0.0098297,           0.0098297
                  45,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098258,           0.0098258,           0.0098258
                  46,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
                  47,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098178,           0.0098178,           0.0098178
                  48,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098139,           0.0098139,           0.0098139
                  49,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098099,           0.0098099,           0.0098099
                  50,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009806,            0.009806,            0.009806
                  51,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  52,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009798,            0.009798,            0.009798
                  53,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097941,           0.0097941,           0.0097941
                  54,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097901,           0.0097901,           0.0097901
                  55,                   0,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097862,           0.0097862,           0.0097862
                  56,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097822,           0.0097822,           0.0097822
                  57,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097782,           0.0097782,           0.0097782
                  58,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097743,           0.0097743,           0.0097743
                  59,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097703,           0.0097703,           0.0097703
                  60,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097664,           0.0097664,           0.0097664
                  61,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097624,           0.0097624,           0.0097624
                  62,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097584,           0.0097584,           0.0097584
                  63,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097545,           0.0097545,           0.0097545
                  64,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097505,           0.0097505,           0.0097505
                  65,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097466,           0.0097466,           0.0097466
                  66,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097426,           0.0097426,           0.0097426
                  67,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097386,           0.0097386,           0.0097386
                  68,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097347,           0.0097347,           0.0097347
                  69,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097307,           0.0097307,           0.0097307
                  70,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097268,           0.0097268,           0.0097268
                  71,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097228,           0.0097228,           0.0097228
                  72,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097188,           0.0097188,           0.0097188
                  73,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097149,           0.0097149,           0.0097149
                  74,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097109,           0.0097109,           0.0097109
                  75,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009707,            0.009707,            0.009707
                  76,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  77,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009699,            0.009699,            0.009699
                  78,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096951,           0.0096951,           0.0096951
                  79,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096911,           0.0096911,           0.0096911
                  80,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096872,           0.0096872,           0.0096872
                  81,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096832,           0.0096832,           0.0096832
                  82,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096792,           0.0096792,           0.0096792
                  83,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096753,           0.0096753,           0.0096753
